日付,曜日,9-13時,13-17時,17-21時,date,w,short_date,小計
2020-02-14T08:00:00.000Z,金,,,,2020-02-14,,02/14,172
2020-02-15T08:00:00.000Z,土,,,,2020-02-15,,02/15,179
2020-02-16T08:00:00.000Z,日,,,,2020-02-16,,02/16,129
2020-02-17T08:00:00.000Z,月,,,,2020-02-17,,02/17,297
2020-02-18T08:00:00.000Z,火,,,,2020-02-18,,02/18,276
2020-02-19T08:00:00.000Z,水,,,,2020-02-19,,02/19,318
2020-02-20T08:00:00.000Z,木,,,,2020-02-20,,02/20,350
2020-02-21T08:00:00.000Z,金,,,,2020-02-21,,02/21,440
2020-02-22T08:00:00.000Z,土,,,,2020-02-22,,02/22,352
2020-02-23T08:00:00.000Z,日,,,,2020-02-23,,02/23,374
2020-02-24T08:00:00.000Z,月,,,,2020-02-24,,02/24,588
2020-02-25T08:00:00.000Z,火,,,,2020-02-25,,02/25,587
2020-02-26T08:00:00.000Z,水,,,,2020-02-26,,02/26,608
2020-02-27T08:00:00.000Z,木,,,,2020-02-27,,02/27,560